Name,Tag,Decision Date,Notes
American University,ED,"December 17, 2020 1:00 PM (PST)",
American University,ED 2,"February 12, 2021 1:00 PM (PST)",
American University,RD,"March 17, 2021 12:00 PM (PDT)",
Amherst College,ED,"December 11, 2020 3:21 PM (PST)",
Amherst College,RD,"March 29, 2021 3:21 PM (PDT)",
Babson College,ED,"December 15, 2020 1:00 PM (PST)",
Babson College,EA,"December 17, 2020 1:00 PM (PST)",
Babson College,RD,"March 19, 2021 1:00 PM (PDT)",
Bard College,RD,"March 15, 2021 5:00 PM (PDT)",
Barnard College,ED,"December 14, 2020",
Barnard College,RD,"March 31, 2021 4:00 PM (PDT)",
Bates College,ED,"December 12, 2020",
Bates College,RD,"March 13, 2021 9:00 AM (PST)",
Baylor University,EA,"December 15, 2020",
Bentley University,RD,"March 12, 2021 3:30 PM (PST)",
Boston College,ED,"December 3, 2020",
Boston College,RD,"March 25, 2021 3:00 PM (PDT)",
Boston University,ED,"December 14, 2020",
Boston University,RD,"March 27, 2021",
Bowdoin College,ED,"December 11, 2020 4:00 PM (PST)",
Bowdoin College,ED 2,"February 5, 2021 4:00 PM (PST)",
Bowdoin College,RD,"March 19, 2021 4:00 PM (PDT)",
Brandeis University,ED,"December 10, 2020",
Brandeis University,RD,"March 18, 2021",Evening of
Brown University,ED,"December 17, 2020 11:00 AM (PST)",
Brown University,RD,"April 6, 2021 4:00 PM (PDT)",
Brown University,Transfer,"May 11, 2021",
Bryn Mawr College,ED,"December 16, 2020 1:00 PM (PST)",
Bryn Mawr College,ED 2,"February 1, 2021 1:00 PM (PST)",
Bryn Mawr College,RD,"March 22, 2021 1:00 PM (PDT)",
Bucknell University,ED,"December 16, 2020 6:00 PM (PST)",
Bucknell University,RD,"March 17, 2021 6:00 PM (PDT)",
Caltech,EA,"December 12, 2020 12:12 PM (PST)",
Caltech,RD,"March 6, 2021 3:09 PM (PST)",
Carleton College,ED,"December 10, 2020 6:00 PM (PST)",
Carleton College,RD,"March 18, 2021 6:00 PM (PDT)",
Carnegie Mellon University (CMU),ED,"December 12, 2020 6:00 AM (PST)",
Carnegie Mellon University (CMU),RD,"March 27, 2021 6:00 AM (PDT)",
Case Western Reserve University (CWRU),EA,"December 22, 2020 5:00 PM (PST)",Starting at
Case Western Reserve University (CWRU),RD,"March 27, 2021 9:00 AM (PDT)",
Chapman University,EA,"December 16, 2020",
Chapman University,RD,"March 10, 2021",
Claremont McKenna College (CMC),RD,"March 25, 2021 5:00 PM (PDT)",
Clark University,ED,"December 20, 2020",
Clark University,ED 2,"January 20, 2021",
Clark University,RD,"February 20, 2021",
Clemson University,RD,"February 15, 2021",
Colby College,RD,"March 19, 2021 2:00 PM (PDT)",
Colgate University,ED,"December 10, 2020 4:13 PM (PST)",
Colgate University,ED 2,"March 3, 2021",
Colgate University,RD,"March 24, 2021 5:13 PM (PDT)",
College of the Holy Cross,RD,"March 20, 2021",
College of William & Mary,RD,"March 30, 2021 2:00 PM (PDT)",Approx. time
Colorado College,"EA, ED","December 16, 2020 3:00 PM (PST)",
Colorado College,ED 2,"February 11, 2021 3:00 PM (PST)",
Colorado College,RD,"March 16, 2021 4:00 PM (PDT)",
Columbia University,ED,"December 15, 2020 4:00 PM (PST)",
Columbia University,RD,"April 6, 2021 4:00 PM (PDT)",
Connecticut College,RD,"March 20, 2021 7:00 AM (PDT)",
Cooper Union,RD,"March 25, 2021",
Cornell University,ED,"December 17, 2020 4:00 PM (PST)",
Cornell University,RD,"April 6, 2021 4:00 PM (PDT)",
Dartmouth College,ED,"December 16, 2020 1:00 PM (PST)",
Dartmouth College,RD,"April 6, 2021 4:00 PM (PDT)",
Davidson College,ED,"December 15, 2020 6:00 PM (PST)",
Davidson College,RD,"March 27, 2021 7:00 AM (PDT)",
Denison University,RD,"March 4, 2021 3:00 PM (PST)",
Dickinson College,RD,"March 15, 2021",
Drexel University,EA,"December 13, 2020",
Drexel University,RD,"March 18, 2021",
Duke Kunshan University,RD,"March 18, 2021 7:00 AM (PDT)",
Duke University,ED,"December 18, 2020 4:00 PM (PST)",
Duke University,RD,"April 5, 2021 4:00 PM (PDT)",
Emerson College,"EA, ED","December 15, 2020 11:00 AM (PST)",
Emerson College,RD,"March 17, 2021",
Emory University,ED,"December 9, 2020 3:00 PM (PST)",
Emory University,ED 2,"February 3, 2021 3:00 PM (PST)",
Emory University,RD,"March 24, 2021 3:00 PM (PDT)",
Emory University,Transfer,"April 28, 2021",
Fordham University,"EA, ED","December 15, 2020",
Fordham University,RD,"March 15, 2021",
Franklin & Marshall,ED,"December 15, 2020 4:00 PM (PST)",
Franklin & Marshall,RD,"March 16, 2021 4:00 PM (PDT)",
George Mason University (GMU),EA,"December 11, 2020",
George Washington University (GWU),ED,"December 17, 2020",
George Washington University (GWU),RD,"March 26, 2021",
